,precinct,race,candidate,party,votes
114,"Marquette CharterTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,3.0
115,"Marquette CharterTownship, Precinct 2",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,416
116,"Marquette CharterTownship, Precinct 2",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,455
117,"Marquette CharterTownship, Precinct 2",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,9.0
118,"Marquette CharterTownship, Precinct 2",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,880
119,"Marquette CharterTownship, Precinct 2",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
120,"MichigammeTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,96
121,"MichigammeTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,157
122,"MichigammeTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,5.0
123,"MichigammeTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,258
124,"MichigammeTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
125,"Negaunee Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,911
126,"Negaunee Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,962
127,"Negaunee Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,27.0
128,"Negaunee Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,"1,900"
129,"Negaunee Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
130,"Powell Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,167
131,"Powell Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,204
132,"Powell Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,9.0
133,"Powell Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,380
134,"Powell Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
135,"Powell Township,Precinct 2",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,95
136,"Powell Township,Precinct 2",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,88
137,"Powell Township,Precinct 2",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,3.0
138,"Powell Township,Precinct 2",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,186
139,"Powell Township,Precinct 2",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
140,"Republic Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,293
141,"Republic Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,375
142,"Republic Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,11.0
143,"Republic Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,679
144,"Republic Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
145,"Richmond Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,239
146,"Richmond Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,192
147,"Richmond Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,6.0
148,"Richmond Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,437
149,"Richmond Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
150,"Sands Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,608
151,"Sands Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,813
152,"Sands Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,27.0
153,"Sands Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,"1,448"
154,"Sands Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
155,"Skandia Township, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,190
156,"Skandia Township, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,303
157,"Skandia Township, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,12.0
158,"Skandia Township, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,505
159,"Skandia Township, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
160,"Tilden Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,"Tilden Township,Precinct 1"
161,"Tilden Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,289
162,"Tilden Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,350
163,"Tilden Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,2.0
164,"Tilden Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,641
165,"Turin Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,"Turin Township,Precinct 1"
166,"Turin Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,32
167,"Turin Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,48
168,"Turin Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,1.0
169,"Turin Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,81
170,"Wells Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,"Wells Township,Precinct 1"
171,"Wells Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,36
172,"Wells Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,90
173,"Wells Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,3.0
174,"Wells Township,Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,129
175,"West BranchTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,"West BranchTownship, Precinct 1"
176,"West BranchTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,347
177,"West BranchTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,467
178,"West BranchTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,14.0
179,"West BranchTownship, Precinct 1",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,828
180,"Marquette CountyMichigan - Total",Representative in Congress 1st District (Vote for  1)   ,DanaFergus,DEM,"Marquette CountyMichigan - Total"
181,"Marquette CountyMichigan - Total",Representative in Congress 1st District (Vote for  1)   ,JackBergma,REP,"19,281"
182,"Marquette CountyMichigan - Total",Representative in Congress 1st District (Vote for  1)   ,BenBoren,LIB,"17,217"
183,"Marquette CountyMichigan - Total",Representative in Congress 1st District (Vote for  1)   ,TotalVotes,null,560.0
184,"Marquette CountyMichigan - Total",Representative in Congress 1st District (Vote for  1)   ,UnresolvedWrite-In,null,"37,058"
