,precinct,race,candidate,party,votes
72,"Chocolay Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,153"
73,"Chocolay Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,682.0
74,"Chocolay Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,18
75,"Chocolay Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,853"
76,"Chocolay Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
77,"Chocolay Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,2.0
78,"Chocolay Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,136"
79,"Chocolay Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,757.0
80,"Chocolay Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,21
81,"Chocolay Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,914"
82,"Chocolay Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
83,"Chocolay Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,3.0
84,"Ely Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,617
85,"Ely Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,520.0
86,"Ely Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,17
87,"Ely Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,154"
88,"Ely Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
89,"Ely Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
90,"Ewing Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,48
91,"Ewing Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,64.0
92,"Ewing Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,2
93,"Ewing Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,114
94,"Ewing Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
95,"Ewing Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
96,"Forsyth Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,994
97,"Forsyth Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,786.0
98,"Forsyth Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,39
99,"Forsyth Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,819"
100,"Forsyth Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
101,"Forsyth Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,2.0
102,"Forsyth Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,276
103,"Forsyth Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,331.0
104,"Forsyth Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,12
105,"Forsyth Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,619
106,"Forsyth Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
107,"Forsyth Township,Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
108,"Forsyth Township,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,358
109,"Forsyth Township,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,396.0
110,"Forsyth Township,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,20
111,"Forsyth Township,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,774
112,"Forsyth Township,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
113,"Forsyth Township,Precinct 3",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,3.0
114,"Humboldt Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,147
115,"Humboldt Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,160.0
116,"Humboldt Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,4
117,"Humboldt Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,311
118,"Humboldt Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
119,"Humboldt Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
120,"Marquette CharterTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,192"
121,"Marquette CharterTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,550.0
122,"Marquette CharterTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,16
123,"Marquette CharterTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,758"
124,"Marquette CharterTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
125,"Marquette CharterTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,3.0
126,"Marquette CharterTownship, Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,530
127,"Marquette CharterTownship, Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,337.0
128,"Marquette CharterTownship, Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,9
129,"Marquette CharterTownship, Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,876
130,"Marquette CharterTownship, Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
131,"Marquette CharterTownship, Precinct 2",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
132,"MichigammeTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,126
133,"MichigammeTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,124.0
134,"MichigammeTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,5
135,"MichigammeTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,255
136,"MichigammeTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
137,"MichigammeTownship, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
138,"Negaunee Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"1,137"
139,"Negaunee Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,734.0
140,"Negaunee Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,18
141,"Negaunee Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,889"
142,"Negaunee Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
143,"Negaunee Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
144,"Republic Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,349
145,"Republic Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,315.0
146,"Republic Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,12
147,"Republic Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,676
148,"Republic Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
149,"Republic Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
150,"Richmond Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,271
151,"Richmond Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,161.0
152,"Richmond Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,3
153,"Richmond Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,435
154,"Richmond Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
155,"Richmond Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
156,"Sands Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,774
157,"Sands Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,644.0
158,"Sands Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,17
159,"Sands Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"1,435"
160,"Sands Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
161,"Sands Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,1.0
162,"Skandia Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,243
163,"Skandia Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,254.0
164,"Skandia Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,3
165,"Skandia Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,500
166,"Skandia Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
167,"Skandia Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
168,"Tilden Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,368
169,"Tilden Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,264.0
170,"Tilden Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,5
171,"Tilden Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,637
172,"Tilden Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
173,"Tilden Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,1.0
174,"Turin Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,47
175,"Turin Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,32.0
176,"Turin Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,1
177,"Turin Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,80
178,"Turin Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
179,"Turin Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
180,"Wells Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,58
181,"Wells Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,64.0
182,"Wells Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,4
183,"Wells Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,126
184,"Wells Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
185,"Wells Township,Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,0.0
186,"West Branch Township, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,421
187,"West Branch Township, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,389.0
188,"West Branch Township, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,10
189,"West Branch Township, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,820
190,"West Branch Township, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
191,"West Branch Township, Precinct 1",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,1.0
192,"Marquette CountyMichigan - Total",Representatvie in State Legislature 109th District (Vote for  1)   ,SaraCambens,DEM,"21,510"
193,"Marquette CountyMichigan - Total",Representatvie in State Legislature 109th District (Vote for  1)   ,MelodyWagn,REP,"12,260"
194,"Marquette CountyMichigan - Total",Representatvie in State Legislature 109th District (Vote for  1)   ,JimHafeman,UST,442.0
195,"Marquette CountyMichigan - Total",Representatvie in State Legislature 109th District (Vote for  1)   ,TotalVotes,null,"34,212"
196,"Marquette CountyMichigan - Total",Representatvie in State Legislature 109th District (Vote for  1)   ,DeborahSueLaFaive,QualifiedWriteIn,0.0
197,"Marquette CountyMichigan - Total",Representatvie in State Legislature 109th District (Vote for  1)   ,UnresolvedWrite-In,null,47.0
